2026-03-23 00:15:08,295 | INFO     | transformer_pipeline | [transformer] Fine-tuning on VCB...
2026-03-23 00:15:08,747 | INFO     | transformer_pipeline | [transformer] VCB: transferred pre-trained weights
2026-03-23 00:15:19,219 | INFO     | transformer_pipeline | [transformer] VCB fine-tune TEST: AUC=0.5724  Acc=0.6000
2026-03-23 00:15:19,443 | INFO     | pipeline |   Transformer val predictions ready: 90 samples
2026-03-23 00:15:19,451 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:15:19,865 | INFO     | tuner | 4-model weights: {'xgb': 0.10183569789483314, 'lgbm': 0.5335083278807813, 'lstm': 0.15034540610560615, 'transformer': 0.21431056811877933}  AUC=0.9088
2026-03-23 00:15:19,877 | INFO     | pipeline |   TEST VCB  AUC=0.7109  Acc=0.6222
2026-03-23 00:15:19,886 | INFO     | models | Saved ensemble for VCB h=5
2026-03-23 00:15:19,889 | INFO     | pipeline | --- FPT -----------------------------------
2026-03-23 00:15:19,949 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:15:19,950 | INFO     | target_engineering |   Vol-adjusted labels: 69.5% of rows kept (threshold=0.3x daily vol, dropped 30.5% near-zero moves)
2026-03-23 00:15:19,952 | INFO     | target_engineering |   Vol-adjusted labels: 82.8% of rows kept (threshold=0.3x daily vol, dropped 17.2% near-zero moves)
2026-03-23 00:15:19,953 | INFO     | target_engineering |   Vol-adjusted labels: 84.7% of rows kept (threshold=0.3x daily vol, dropped 15.3% near-zero moves)
2026-03-23 00:15:19,954 | INFO     | target_engineering |   Vol-adjusted labels: 85.6% of rows kept (threshold=0.3x daily vol, dropped 14.4% near-zero moves)
2026-03-23 00:15:19,960 | INFO     | pipeline |   Splits: train=439, val=93, test=93
2026-03-23 00:15:20,097 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:15:20,098 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:15:34,715 | INFO     | tuner | XGB best AUC: 0.6965  params={'n_estimators': 129, 'max_depth': 6, 'learning_rate': 0.013480615321319452, 'subsample': 0.8880485145048759, 'colsample_bytree': 0.6524070939124748, 'min_child_weight': 6, 'gamma': 0.03928326808865058, 'reg_alpha': 0.39923310595483685, 'reg_lambda': 2.5089294526967296, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:15:34,716 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:15:37,990 | INFO     | tuner | LGBM best AUC: 0.7713  params={'n_estimators': 369, 'num_leaves': 81, 'learning_rate': 0.07563201537111303, 'feature_fraction': 0.9957119927907478, 'bagging_fraction': 0.9109151899959823, 'bagging_freq': 6, 'min_child_samples': 33, 'reg_alpha': 0.7195127238854038, 'reg_lambda': 1.4683488117335677, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:15:37,991 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:17:49,574 | INFO     | tuner | LSTM best AUC: 0.7882  params={'units_1': 60, 'units_2': 99, 'dropout': 0.35220454202434415, 'learning_rate': 0.001541542980591379, 'batch_size': 16, 'epochs': 25}
2026-03-23 00:17:49,575 | INFO     | models |   Fitting xgb…
2026-03-23 00:17:49,792 | INFO     | models |   Fitting lgbm…
2026-03-23 00:17:49,836 | INFO     | models |   Fitting lstm…
2026-03-23 00:17:55,329 | INFO     | transformer_pipeline | [transformer] Fine-tuning on FPT...
2026-03-23 00:17:55,631 | INFO     | transformer_pipeline | [transformer] FPT: transferred pre-trained weights
2026-03-23 00:18:04,387 | INFO     | transformer_pipeline | [transformer] FPT fine-tune TEST: AUC=0.5050  Acc=0.3814
2026-03-23 00:18:04,636 | INFO     | pipeline |   Transformer val predictions ready: 93 samples
2026-03-23 00:18:04,647 | INFO     | tuner | Tuning 4-model ensemble weights (XGB+LGBM+LSTM+Transformer)...
2026-03-23 00:18:05,000 | INFO     | tuner | 4-model weights: {'xgb': 0.09467392599683097, 'lgbm': 0.5611210715212919, 'lstm': 0.2219788869656607, 'transformer': 0.12222611551621664}  AUC=0.8512
2026-03-23 00:18:05,016 | INFO     | pipeline |   TEST FPT  AUC=0.5593  Acc=0.4086
2026-03-23 00:18:05,023 | INFO     | models | Saved ensemble for FPT h=5
2026-03-23 00:18:05,029 | INFO     | pipeline | --- MWG -----------------------------------
2026-03-23 00:18:05,093 | INFO     | features | Feature matrix: 738 rows × 108 columns
2026-03-23 00:18:05,095 | INFO     | target_engineering |   Vol-adjusted labels: 67.8% of rows kept (threshold=0.3x daily vol, dropped 32.2% near-zero moves)
2026-03-23 00:18:05,096 | INFO     | target_engineering |   Vol-adjusted labels: 81.2% of rows kept (threshold=0.3x daily vol, dropped 18.8% near-zero moves)
2026-03-23 00:18:05,097 | INFO     | target_engineering |   Vol-adjusted labels: 83.9% of rows kept (threshold=0.3x daily vol, dropped 16.1% near-zero moves)
2026-03-23 00:18:05,098 | INFO     | target_engineering |   Vol-adjusted labels: 88.2% of rows kept (threshold=0.3x daily vol, dropped 11.8% near-zero moves)
2026-03-23 00:18:05,105 | INFO     | pipeline |   Splits: train=435, val=92, test=92
2026-03-23 00:18:05,222 | INFO     | target_engineering |   Feature selection: kept 40/99 features (dropped 59 low-importance)
2026-03-23 00:18:05,223 | INFO     | tuner | Tuning XGBoost (60 trials)...
2026-03-23 00:18:20,589 | INFO     | tuner | XGB best AUC: 0.5676  params={'n_estimators': 202, 'max_depth': 3, 'learning_rate': 0.09286863056028692, 'subsample': 0.9960817719488625, 'colsample_bytree': 0.6220695064400523, 'min_child_weight': 1, 'gamma': 0.9874560111247735, 'reg_alpha': 0.17832151718587985, 'reg_lambda': 2.319756345279604, 'eval_metric': 'logloss', 'random_state': 42, 'n_jobs': -1}
2026-03-23 00:18:20,589 | INFO     | tuner | Tuning LightGBM (60 trials)...
2026-03-23 00:18:22,348 | INFO     | tuner | LGBM best AUC: 0.6359  params={'n_estimators': 382, 'num_leaves': 68, 'learning_rate': 0.11278638269477737, 'feature_fraction': 0.868049245757076, 'bagging_fraction': 0.616538261761871, 'bagging_freq': 4, 'min_child_samples': 23, 'reg_alpha': 0.9161299674106196, 'reg_lambda': 1.4060021812902301, 'random_state': 42, 'n_jobs': -1, 'verbose': -1}
2026-03-23 00:18:22,349 | INFO     | tuner | Tuning LSTM (30 trials)...
2026-03-23 00:19:22,458 | INFO     | tuner | LSTM best AUC: 0.7245  params={'units_1': 53, 'units_2': 47, 'dropout': 0.49128875312536735, 'learning_rate': 0.002835796854767761, 'batch_size': 64, 'epochs': 63}
2026-03-23 00:19:22,459 | INFO     | models |   Fitting xgb…
2026-03-23 00:19:22,552 | INFO     | models |   Fitting lgbm…
2026-03-23 00:19:22,583 | INFO     | models |   Fitting lstm…
2026-03-23 00:19:24,354 | INFO     | transformer_pipeline | [transformer] Fine-tuning on MWG...
2026-03-23 00:19:24,565 | INFO     | transformer_pipeline | [transformer] MWG: transferred pre-trained weights
2026-03-23 00:19:32,635 | INFO     | transformer_pipeline | [transformer] MWG fine-tune TEST: AUC=0.4869  Acc=0.5169
2026-03-23 00:19:32,859 | INFO     | pipeline |   Transformer val predictions ready: 92 samples
